species_id,short_code,display_name,common_name,scientific_name,profile_url,category,source_page
albizia,73bc7c46,Albizia (Falcataria moluccana),Albizia,Falcataria moluccana,https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/albizia,Plants,invasive_species_profiles
australian-tree-fern,4a6e8620,Australian Tree Fern (Cyathea cooperi),Australian Tree Fern,Cyathea cooperi,https://dlnr.hawaii.gov/hisc/info/species/australian-tree-fern,Plants,invasive_species_profiles
banana-poka-passiflora-mollisima,51c43d95,Banana Poka (Passiflora tarminiana),Banana Poka,Passiflora tarminiana,https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/banana-poka-passiflora-mollisima,Plants,invasive_species_profiles
barbados-gooseberry,7f93bd50,Barbados Gooseberry (Pereskia aculeata),Barbados Gooseberry,Pereskia aculeata,https://dlnr.hawaii.gov/hisc/info/species/barbados-gooseberry,Plants,invasive_species_profiles
bingabing,3fd16d8d,Bingabing (Macaranga mappa),Bingabing,Macaranga mappa,https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/bingabing,Plants,invasive_species_profiles
black-wattle-acacia-mearnsii,c47c1ab4,Black Wattle (Acacia mearnsii),Black Wattle,Acacia mearnsii,https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/black-wattle-acacia-mearnsii,Plants,invasive_species_profiles
cane-tibouchina,866398c9,Cane Tibouchina (Tibouchina herbaceae),Cane Tibouchina,Tibouchina herbaceae,https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/cane-tibouchina,Plants,invasive_species_profiles
cattail,c89f9c40,Cattail (Typha latifolia),Cattail,Typha latifolia,https://dlnr.hawaii.gov/hisc/info/species/cattail,Plants,invasive_species_profiles
cotoneaster-cotoneaster-pannosus,1857d63f,Cotoneaster (Cotoneaster pannosus),Cotoneaster,Cotoneaster pannosus,https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/cotoneaster-cotoneaster-pannosus,Plants,invasive_species_profiles
chromolaena-odorata,1492a8b0,Devil Weed (Chromolaena odorata),Devil Weed,Chromolaena odorata,https://dlnr.hawaii.gov/hisc/info/biocontrol/latest-biocontrol/chromolaena-odorata,Plants,invasive_species_profiles
false-kava,76b68f9c,False Kava (Piper auritum),False Kava,Piper auritum,https://dlnr.hawaii.gov/hisc/info/species/false-kava,Plants,invasive_species_profiles
fire-tree,4ad33cbf,Fire Tree (Morella faya),Fire Tree,Morella faya,https://dlnr.hawaii.gov/hisc/info/species/fire-tree,Plants,invasive_species_profiles
fireweed,82bf5092,Fireweed (Senecio madagascariensis),Fireweed,Senecio madagascariensis,https://dlnr.hawaii.gov/hisc/info/species/fireweed,Plants,invasive_species_profiles
florida-raspberry-rubus-argutus,16cb42c5,Florida Blackberry (Rubus argutus),Florida Blackberry,Rubus argutus,https://dlnr.hawaii.gov/hisc/info/invasive-species-profiles/florida-raspberry-rubus-argutus,Plants,invasive_species_profiles
fountain-grass-2024,c7dc8558,Fountain Grass (Pennisetum setaceum),Fountain Grass,Pennisetum setaceum,https://dlnr.hawaii.gov/hisc/fountain-grass-2024,Plants,invasive_species_profiles
giant-reed,e6d11e20,Giant Reed (Arundo donax),Giant Reed,Arundo donax,https://dlnr.hawaii.gov/hisc/info/species/giant-reed,Plants,invasive_species_profiles
glory-bush,9e5eed6e,Glory Bush (Tibouchina urvilleana),Glory Bush,Tibouchina urvilleana,https://dlnr.hawaii.gov/hisc/info/species/glory-bush,Plants,invasive_species_profiles
gorilla-ogo,04ec381c,Gorilla Ogo (Gracilaria salicornia),Gorilla Ogo,Gracilaria salicornia,https://dlnr.hawaii.gov/hisc/info/species/gorilla-ogo,Plants,invasive_species_profiles
gorse,4ef69431,Gorse (Ulex europaeus),Gorse,Ulex europaeus,https://dlnr.hawaii.gov/hisc/info/species/gorse,Plants,invasive_species_profiles
himalayan-blackberry,3c994321,Himalayan Blackberry (Rubus discolor),Himalayan Blackberry,Rubus discolor,https://dlnr.hawaii.gov/hisc/info/species/himalayan-blackberry,Plants,invasive_species_profiles
hedychium-gardnerianum,c03b469d,Himalayan Ginger (Hedychium gardnerianum),Himalayan Ginger,Hedychium gardnerianum,https://dlnr.hawaii.gov/hisc/info/biocontrol/latest-biocontrol/hedychium-gardnerianum,Plants,invasive_species_profiles
rubus-ellipticus-rubus-niveus,845d2f7f,Himalayan Raspberry (Rubus ellipticus),Himalayan Raspberry,Rubus ellipticus,https://dlnr.hawaii.gov/hisc/info/biocontrol/latest-biocontrol/rubus-ellipticus-rubus-niveus,Plants,invasive_species_profiles
hiptage,0d38dc26,Hiptage (Hiptage benghalensis),Hiptage,Hiptage benghalensis,https://dlnr.hawaii.gov/hisc/info/species/hiptage,Plants,invasive_species_profiles
hookweed,eff5d247,Hookweed (Hypnea musciformis),Hookweed,Hypnea musciformis,https://dlnr.hawaii.gov/hisc/info/species/hookweed,Plants,invasive_species_profiles
ivy-gourd,897a348b,Ivy Gourd (Coccina grandis),Ivy Gourd,Coccina grandis,https://dlnr.hawaii.gov/hisc/info/species/ivy-gourd,Plants,invasive_species_profiles
kappaphycus-algae,c5da4499,Kappaphycus Algae (Kappaphycus sp.),Kappaphycus Algae,Kappaphycus sp.,https://dlnr.hawaii.gov/hisc/info/species/kappaphycus-algae,Plants,invasive_species_profiles
long-thorn-kiawe,630c8861,Long-thorn Kiawe (Prosopis julifloria),Long-thorn Kiawe,Prosopis julifloria,https://dlnr.hawaii.gov/hisc/info/species/long-thorn-kiawe,Plants,invasive_species_profiles
miconia-calvescens,01aafd4e,Miconia (Miconia calvescens),Miconia,Miconia calvescens,https://dlnr.hawaii.gov/hisc/miconia-calvescens,Plants,invasive_species_profiles
new-zealand-flax,a61cd0fd,New Zealand Flax (Phormium tenax),New Zealand Flax,Phormium tenax,https://dlnr.hawaii.gov/hisc/info/species/new-zealand-flax,Plants,invasive_species_profiles
pampas-grass,8c173649,"Pampas Grass (Cortaderia jubata, selloana)",Pampas Grass,"Cortaderia jubata, selloana",https://dlnr.hawaii.gov/hisc/info/species/pampas-grass,Plants,invasive_species_profiles
plume-poppy,e3451ba3,Plume Poppy (Bocconia frutescens),Plume Poppy,Bocconia frutescens,https://dlnr.hawaii.gov/hisc/info/species/plume-poppy,Plants,invasive_species_profiles
mysore-raspberry-rubus-niveus,f013790f,Raspberry (Rubus niveus),Raspberry,Rubus niveus,https://dlnr.hawaii.gov/hisc/mysore-raspberry-rubus-niveus,Plants,invasive_species_profiles
rubbervine,5d7ec71b,Rubbervine (Cryptostegia sp.),Rubbervine,Cryptostegia sp.,https://dlnr.hawaii.gov/hisc/info/species/rubbervine,Plants,invasive_species_profiles
smoke-bush,97e54af8,Smoke Bush (Buddleja madagascariensis),Smoke Bush,Buddleja madagascariensis,https://dlnr.hawaii.gov/hisc/info/species/smoke-bush,Plants,invasive_species_profiles
brown-tree-snake,ef4e8f35,Brown Tree Snake (Boiga irregularis),Brown Tree Snake,Boiga irregularis,https://dlnr.hawaii.gov/hisc/info/species/brown-tree-snake,Vertebrates,invasive_species_profiles
coqui-frog,94306218,Coqui (Eleutherodactylus coqui),Coqui,Eleutherodactylus coqui,https://dlnr.hawaii.gov/hisc/coqui-frog,Vertebrates,invasive_species_profiles
feral-cats,b634220e,Feral cats (Felis catus),Feral cats,Felis catus,https://dlnr.hawaii.gov/hisc/info/species/feral-cats,Vertebrates,invasive_species_profiles
jacksons-chameleon,5642c5d5,Jackson’s Chameleon (Chameleo jacksonii),Jackson’s Chameleon,Chameleo jacksonii,https://dlnr.hawaii.gov/hisc/info/species/jacksons-chameleon,Vertebrates,invasive_species_profiles
mongoose-urva-auropunctata,b4bc808b,Mongoose (Herpestes javanicus),Mongoose,Herpestes javanicus,https://dlnr.hawaii.gov/hisc/mongoose-urva-auropunctata,Vertebrates,invasive_species_profiles
red-vented-bulbul,aab3cea4,Red-vented Bulbul (Pycnonotus cafer),Red-vented Bulbul,Pycnonotus cafer,https://dlnr.hawaii.gov/hisc/info/species/red-vented-bulbul,Vertebrates,invasive_species_profiles
red-whiskered-bulbul,b6755d44,Red-whiskered Bulbul (Pycnonotus jocosus),Red-whiskered Bulbul,Pycnonotus jocosus,https://dlnr.hawaii.gov/hisc/info/species/red-whiskered-bulbul,Vertebrates,invasive_species_profiles
rose-ringed-parakeet-rrpa,44e97226,Rose-ringed Parakeet (Psittacula krameri),Rose-ringed Parakeet,Psittacula krameri,https://dlnr.hawaii.gov/hisc/rose-ringed-parakeet-rrpa,Vertebrates,invasive_species_profiles
veiled-chameleon,529a22ee,Veiled Chameleon (Chameleo calyptratus),Veiled Chameleon,Chameleo calyptratus,https://dlnr.hawaii.gov/hisc/info/species/veiled-chameleon,Vertebrates,invasive_species_profiles
africanized-honey-bee,fa542934,Africanized Honeybee,Africanized Honeybee,,https://dlnr.hawaii.gov/hisc/info/africanized-honey-bee,species_examples,species_examples
australian-tree-fern,25cc29c1,Australian Tree Fern,Australian Tree Fern,,https://dlnr.hawaii.gov/hisc/info/australian-tree-fern,species_examples,species_examples
barbados-gooseberry,0a5a541b,Barbados Gooseberry,Barbados Gooseberry,,https://dlnr.hawaii.gov/hisc/info/barbados-gooseberry,species_examples,species_examples
brown-tree-snake,d40fe475,Brown Tree Snake,Brown Tree Snake,,https://dlnr.hawaii.gov/hisc/info/brown-tree-snake,species_examples,species_examples
cattail,642953cc,Cattail,Cattail,,https://dlnr.hawaii.gov/hisc/info/cattail,species_examples,species_examples
coqui,2e825f8d,Coqui,Coqui,,https://dlnr.hawaii.gov/hisc/info/coqui,species_examples,species_examples
false-kava,15eacba2,False Kava,False Kava,,https://dlnr.hawaii.gov/hisc/info/false-kava,species_examples,species_examples
fire-tree,09534534,Fire Tree,Fire Tree,,https://dlnr.hawaii.gov/hisc/info/fire-tree,species_examples,species_examples
fireweed,60200f68,Fireweed,Fireweed,,https://dlnr.hawaii.gov/hisc/info/fireweed,species_examples,species_examples
fountain-grass,b500c558,Fountain Grass,Fountain Grass,,https://dlnr.hawaii.gov/hisc/info/fountain-grass,species_examples,species_examples
glory-bush,b7c31eae,Glory Bush,Glory Bush,,https://dlnr.hawaii.gov/hisc/info/glory-bush,species_examples,species_examples
gorilla-ogo,53887d39,Gorilla Ogo,Gorilla Ogo,,https://dlnr.hawaii.gov/hisc/info/gorilla-ogo,species_examples,species_examples
gorse,efe6bcae,Gorse,Gorse,,https://dlnr.hawaii.gov/hisc/info/gorse,species_examples,species_examples
himalayan-blackberry,062cc997,Himalayan Blackberry,Himalayan Blackberry,,https://dlnr.hawaii.gov/hisc/info/himalayan-blackberry,species_examples,species_examples
hiptage,2a390449,Hiptage,Hiptage,,https://dlnr.hawaii.gov/hisc/info/hiptage,species_examples,species_examples
hookweed,39f14c4a,Hookweed,Hookweed,,https://dlnr.hawaii.gov/hisc/info/hookweed,species_examples,species_examples
ivy-gourd,3a72ed7d,Ivy Gourd,Ivy Gourd,,https://dlnr.hawaii.gov/hisc/info/ivy-gourd,species_examples,species_examples
kappaphycus-algae,2a779b25,Kappaphycus,Kappaphycus,,https://dlnr.hawaii.gov/hisc/info/kappaphycus-algae,species_examples,species_examples
little-fire-ant,cd0e52c3,Little Fire Ant,Little Fire Ant,,https://dlnr.hawaii.gov/hisc/info/little-fire-ant,species_examples,species_examples
long-thorn-kiawe,5c2cef54,Long-thorn Kiawe,Long-thorn Kiawe,,https://dlnr.hawaii.gov/hisc/info/long-thorn-kiawe,species_examples,species_examples
miconia,5607b1ca,Miconia,Miconia,,https://dlnr.hawaii.gov/hisc/info/miconia,species_examples,species_examples
mongoose,7371dc00,Mongoose,Mongoose,,https://dlnr.hawaii.gov/hisc/info/mongoose,species_examples,species_examples
nettle-caterpillar,308ca71b,Nettle Caterpillar,Nettle Caterpillar,,https://dlnr.hawaii.gov/hisc/info/nettle-caterpillar,species_examples,species_examples
new-zealand-flax,35fb2234,New Zealand Flax,New Zealand Flax,,https://dlnr.hawaii.gov/hisc/info/new-zealand-flax,species_examples,species_examples
pampas-grass,03ebcbfa,Pampas Grass,Pampas Grass,,https://dlnr.hawaii.gov/hisc/info/pampas-grass,species_examples,species_examples
rapid-ohia-death,c8b598e0,Rapid Ohia Death,Rapid Ohia Death,,https://dlnr.hawaii.gov/hisc/info/species/rapid-ohia-death,species_examples,species_examples
red-imported-fire-ant,a18f3ad3,Red Imported Fire Ant,Red Imported Fire Ant,,https://dlnr.hawaii.gov/hisc/info/red-imported-fire-ant,species_examples,species_examples
red-vented-bulbul,5d1c2545,Red-vented Bulbul,Red-vented Bulbul,,https://dlnr.hawaii.gov/hisc/info/red-vented-bulbul,species_examples,species_examples
red-whiskered-bulbul,04387ac0,Red-whiskered Bulbul,Red-whiskered Bulbul,,https://dlnr.hawaii.gov/hisc/info/red-whiskered-bulbul,species_examples,species_examples
rubbervine,61415785,Rubbervine,Rubbervine,,https://dlnr.hawaii.gov/hisc/info/rubbervine,species_examples,species_examples
smoke-bush,8a7f9c2e,Smoke Bush,Smoke Bush,,https://dlnr.hawaii.gov/hisc/info/smoke-bush,species_examples,species_examples
snowflake-coral,c4cef93e,Snowflake Coral,Snowflake Coral,,https://dlnr.hawaii.gov/hisc/info/snowflake-coral,species_examples,species_examples
veiled-chameleon,df283c7a,Veiled Chameleon,Veiled Chameleon,,https://dlnr.hawaii.gov/hisc/info/veiled-chameleon,species_examples,species_examples
west-nile-virus,96050855,West Nile Virus,West Nile Virus,,https://dlnr.hawaii.gov/hisc/info/west-nile-virus,species_examples,species_examples
